,后记.txt,第01章　灭门.txt,第02章　聆秘.txt,第03章　救难.txt,第04章　坐斗.txt,第05章　治伤.txt,第06章　洗手.txt,第07章　授谱.txt,第08章　面壁.txt,第09章　邀客.txt,第10章　传剑.txt,第11章　聚气.txt,第12章　围攻.txt,第13章　学琴.txt,第14章　论杯.txt,第15章　灌药.txt,第16章　注血.txt,第17章　倾心.txt,第18章　联手.txt,第19章　打赌.txt,第20章　入狱.txt,第21章　囚居.txt,第22章　脱困.txt,第23章　伏击.txt,第24章　蒙冤.txt,第25章　闻讯.txt,第26章　围寺.txt,第27章　三战.txt,第28章　积雪.txt,第29章　掌门.txt,第30章　密议.txt,第31章　绣花.txt,第32章　并派.txt,第33章　比剑.txt,第34章　夺帅.txt,第35章　复仇.txt,第36章　伤逝.txt,第37章　迫娶.txt,第38章　聚歼.txt,第39章　拒盟.txt,第40章　曲谐.txt
玉音子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
玉钟子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
左冷禅,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,70.0,20.0,3.0,35.0,3.0,92.0,46.0,92.0,17.0,14.0,10.0,42.0,18.0,2.0
成不忧,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
成高道人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
冲虚道长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,3.0,2.0,3.0,1.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0
吉人通,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
老不死,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
老头子,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,1.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,33.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0
刘菁,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
